group,id,course,semester,grade
1,36,Agriculture and Horticulture,2,13.5
1,36,Agriculture and Horticulture,2,11.5
1,36,Agriculture and Horticulture,2,12.75
1,36,Agriculture and Horticulture,2,9.75
1,36,Agriculture and Horticulture,2,10
1,36,Agriculture and Horticulture,2,9.25
1,36,Agriculture and Horticulture,2,9.5
1,36,Agriculture and Horticulture,2,10
1,36,Architecture and Sculpture,1,0
1,36,Architecture and Sculpture,1,8.25
1,36,Architecture and Sculpture,1,10.5
1,36,Architecture and Sculpture,1,6.5
1,36,Architecture and Sculpture,1,11.25
1,36,Architecture and Sculpture,1,3.25
1,36,Architecture and Sculpture,1,6.25
1,36,Architecture and Sculpture,1,3
1,36,Architecture and Sculpture,1,10.25
1,36,Astrology and Divination,1,13.5
1,36,Astrology and Divination,1,12
1,36,Astrology and Divination,1,14
1,36,Astrology and Divination,1,13.5
1,36,Astrology and Divination,1,13.5
1,36,Buddhist Philosophy and Meditation,1,13
1,36,Buddhist Philosophy and Meditation,1,14.5
1,36,Buddhist Philosophy and Meditation,1,15.5
1,36,Buddhist Philosophy and Meditation,1,14
1,36,Buddhist Philosophy and Meditation,1,17
1,36,Buddhist Philosophy and Meditation,1,14
1,36,Buddhist Philosophy and Meditation,1,14.5
1,36,Buddhist Philosophy and Meditation,1,16
1,36,Buddhist Philosophy and Meditation,1,16
1,36,History and Civilization of Southeast Asia,1,13.5
1,36,History and Civilization of Southeast Asia,1,10
1,36,History and Civilization of Southeast Asia,1,11.5
1,36,History and Civilization of Southeast Asia,1,11.5
1,36,Language and Linguistics,1,18.5
1,36,Language and Linguistics,1,7.5
1,36,Language and Linguistics,1,14
1,36,Language and Linguistics,1,11
1,36,Language and Linguistics,1,13
1,36,Language and Linguistics,1,13.5
1,36,Martial Arts and Self-Defense,1,14
1,36,Martial Arts and Self-Defense,1,13
1,36,Martial Arts and Self-Defense,1,11
1,36,Martial Arts and Self-Defense,1,13.5
1,36,Martial Arts and Self-Defense,1,11.5
1,36,Martial Arts and Self-Defense,1,12.5
1,36,Martial Arts and Self-Defense,1,12
1,36,Music and Dance,2,14.25
1,36,Music and Dance,2,12.5
1,36,Music and Dance,2,11
1,36,Music and Dance,2,12
1,36,Music and Dance,2,12.75
1,36,Spirituality and Rituals,1,13
1,36,Spirituality and Rituals,1,13
1,36,Spirituality and Rituals,1,13
1,36,Spirituality and Rituals,1,15
1,36,Spirituality and Rituals,1,12
1,36,Spirituality and Rituals,1,13
1,36,Traditional Medicine and Herbalism,1,11.5
1,36,Traditional Medicine and Herbalism,1,7.25
1,36,Traditional Medicine and Herbalism,1,10.25
1,36,Traditional Medicine and Herbalism,1,5.75
1,36,Traditional Medicine and Herbalism,1,9.25
1,36,Traditional Medicine and Herbalism,1,10.75
1,36,Traditional Medicine and Herbalism,1,9.5
1,36,Traditional Medicine and Herbalism,1,2.5
1,42,Agriculture and Horticulture,2,6.75
1,42,Agriculture and Horticulture,2,6.75
1,42,Agriculture and Horticulture,2,13.5
1,42,Agriculture and Horticulture,2,14.25
1,42,Agriculture and Horticulture,2,12
1,42,Agriculture and Horticulture,2,8.25
1,42,Agriculture and Horticulture,2,14.75
1,42,Architecture and Sculpture,1,14
1,42,Architecture and Sculpture,1,8.5
1,42,Architecture and Sculpture,1,8.25
1,42,Architecture and Sculpture,1,12.25
1,42,Architecture and Sculpture,1,3.75
1,42,Architecture and Sculpture,1,4.5
1,42,Architecture and Sculpture,1,8.25
1,42,Architecture and Sculpture,1,11.25
1,42,Architecture and Sculpture,1,9.75
1,42,Architecture and Sculpture,1,12.75
1,42,Astrology and Divination,1,14
1,42,Astrology and Divination,1,13
1,42,Astrology and Divination,1,12.5
1,42,Astrology and Divination,1,15
1,42,Astrology and Divination,1,15.5
1,42,Buddhist Philosophy and Meditation,1,14
1,42,Buddhist Philosophy and Meditation,1,12
1,42,Buddhist Philosophy and Meditation,1,11
1,42,Buddhist Philosophy and Meditation,1,15
1,42,Buddhist Philosophy and Meditation,1,14.5
1,42,Buddhist Philosophy and Meditation,1,15
1,42,Buddhist Philosophy and Meditation,1,15.5
1,42,Buddhist Philosophy and Meditation,1,15
1,42,Buddhist Philosophy and Meditation,1,13
1,42,History and Civilization of Southeast Asia,1,11
1,42,History and Civilization of Southeast Asia,1,10
1,42,History and Civilization of Southeast Asia,1,15.5
1,42,History and Civilization of Southeast Asia,1,13
1,42,Language and Linguistics,1,15
1,42,Language and Linguistics,1,16
1,42,Language and Linguistics,1,14
1,42,Language and Linguistics,1,5
1,42,Language and Linguistics,1,15.5
1,42,Language and Linguistics,1,13.5
1,42,Martial Arts and Self-Defense,1,12
1,42,Martial Arts and Self-Defense,1,13
1,42,Martial Arts and Self-Defense,1,12.5
1,42,Martial Arts and Self-Defense,1,11
1,42,Martial Arts and Self-Defense,1,13.5
1,42,Martial Arts and Self-Defense,1,12
1,42,Martial Arts and Self-Defense,1,11
1,42,Music and Dance,2,11.5
1,42,Music and Dance,2,12
1,42,Music and Dance,2,11.75
1,42,Music and Dance,2,13.25
1,42,Music and Dance,2,13
1,42,Spirituality and Rituals,1,12
1,42,Spirituality and Rituals,1,13.5
1,42,Spirituality and Rituals,1,14.5
1,42,Spirituality and Rituals,1,13
1,42,Spirituality and Rituals,1,13
1,42,Spirituality and Rituals,1,11
1,42,Traditional Medicine and Herbalism,1,12.25
1,42,Traditional Medicine and Herbalism,1,10.75
1,42,Traditional Medicine and Herbalism,1,7.75
1,42,Traditional Medicine and Herbalism,1,12.75
1,42,Traditional Medicine and Herbalism,1,9.5
1,42,Traditional Medicine and Herbalism,1,7
1,42,Traditional Medicine and Herbalism,1,9
1,42,Traditional Medicine and Herbalism,1,10
1,42,Traditional Medicine and Herbalism,1,14.25
1,47,Agriculture and Horticulture,2,3.5
1,47,Agriculture and Horticulture,2,11
1,47,Agriculture and Horticulture,2,13.5
1,47,Agriculture and Horticulture,2,8.5
1,47,Agriculture and Horticulture,2,10.5
1,47,Agriculture and Horticulture,2,8.75
1,47,Agriculture and Horticulture,2,13
1,47,Agriculture and Horticulture,2,8
1,47,Architecture and Sculpture,1,10.5
1,47,Architecture and Sculpture,1,5.25
1,47,Architecture and Sculpture,1,4.75
1,47,Architecture and Sculpture,1,5.75
1,47,Architecture and Sculpture,1,6.25
1,47,Architecture and Sculpture,1,6.75
1,47,Architecture and Sculpture,1,5
1,47,Architecture and Sculpture,1,2
1,47,Architecture and Sculpture,1,3.75
1,47,Architecture and Sculpture,1,4
1,47,Astrology and Divination,1,13.5
1,47,Astrology and Divination,1,13.5
1,47,Astrology and Divination,1,15.5
1,47,Astrology and Divination,1,14
1,47,Astrology and Divination,1,14
1,47,Buddhist Philosophy and Meditation,1,15
1,47,Buddhist Philosophy and Meditation,1,12
1,47,Buddhist Philosophy and Meditation,1,18
1,47,Buddhist Philosophy and Meditation,1,14
1,47,Buddhist Philosophy and Meditation,1,14
1,47,Buddhist Philosophy and Meditation,1,15.5
1,47,Buddhist Philosophy and Meditation,1,15
1,47,Buddhist Philosophy and Meditation,1,15
1,47,Buddhist Philosophy and Meditation,1,12.5
1,47,History and Civilization of Southeast Asia,1,9
1,47,History and Civilization of Southeast Asia,1,8.5
1,47,History and Civilization of Southeast Asia,1,8.5
1,47,History and Civilization of Southeast Asia,1,7
1,47,Language and Linguistics,1,13
1,47,Language and Linguistics,1,9
1,47,Language and Linguistics,1,12
1,47,Language and Linguistics,1,14
1,47,Language and Linguistics,1,9.5
1,47,Language and Linguistics,1,7.5
1,47,Martial Arts and Self-Defense,1,12
1,47,Martial Arts and Self-Defense,1,12.5
1,47,Martial Arts and Self-Defense,1,11
1,47,Martial Arts and Self-Defense,1,11.5
1,47,Martial Arts and Self-Defense,1,12.5
1,47,Martial Arts and Self-Defense,1,13
1,47,Martial Arts and Self-Defense,1,13.5
1,47,Music and Dance,2,11.25
1,47,Music and Dance,2,14.75
1,47,Music and Dance,2,10
1,47,Music and Dance,2,12
1,47,Music and Dance,2,14
1,47,Spirituality and Rituals,1,14.5
1,47,Spirituality and Rituals,1,12
1,47,Spirituality and Rituals,1,12.5
1,47,Spirituality and Rituals,1,13
1,47,Spirituality and Rituals,1,15.5
1,47,Spirituality and Rituals,1,14.5
1,47,Traditional Medicine and Herbalism,1,8
1,47,Traditional Medicine and Herbalism,1,13
1,47,Traditional Medicine and Herbalism,1,15.5
1,47,Traditional Medicine and Herbalism,1,10.25
1,47,Traditional Medicine and Herbalism,1,14
1,47,Traditional Medicine and Herbalism,1,10.75
1,47,Traditional Medicine and Herbalism,1,10.75
1,53,Agriculture and Horticulture,2,11
1,53,Agriculture and Horticulture,2,5.5
1,53,Agriculture and Horticulture,2,7
1,53,Agriculture and Horticulture,2,8.25
1,53,Agriculture and Horticulture,2,12.25
1,53,Agriculture and Horticulture,2,6
1,53,Agriculture and Horticulture,2,8.75
1,53,Agriculture and Horticulture,2,10.5
1,53,Architecture and Sculpture,1,13.5
1,53,Architecture and Sculpture,1,2.75
1,53,Architecture and Sculpture,1,10.5
1,53,Architecture and Sculpture,1,6.25
1,53,Architecture and Sculpture,1,3.5
1,53,Architecture and Sculpture,1,5.25
1,53,Architecture and Sculpture,1,4
1,53,Architecture and Sculpture,1,6.75
1,53,Architecture and Sculpture,1,7.5
1,53,Architecture and Sculpture,1,9.25
1,53,Astrology and Divination,1,14.5
1,53,Astrology and Divination,1,12.5
1,53,Astrology and Divination,1,14
1,53,Astrology and Divination,1,10.5
